token	prefLabel	definition	retired	note	uri	modified
algorithmicMedia	Pure algorithmic media	Media created purely by an algorithm not based on any sampled training data, e.g. an image created by software using a mathematical formula			http://cv.iptc.org/newscodes/digitalsourcetype/algorithmicMedia	2022-06-14T12:00:00+00:00
algorithmicallyEnhanced	Algorithmically-altered media	Modification or correction by algorithm without changing the main content of the media, initiated or configured by a human, such as sharpening or applying noise reduction			http://cv.iptc.org/newscodes/digitalsourcetype/algorithmicallyEnhanced	2024-10-23T12:00:00+00:00
composite	Composite of elements	Mix or composite of several elements, any of which may or may not be generative AI			http://cv.iptc.org/newscodes/digitalsourcetype/composite	2024-09-17T12:00:00+00:00
compositeCapture	Composite of captured elements	Mix or composite of several elements that are all captures of real life			http://cv.iptc.org/newscodes/digitalsourcetype/compositeCapture	2022-06-14T12:00:00+00:00
compositeSynthetic	Composite including generative AI elements	Mix or composite of several elements, at least one of which is Generative AI			http://cv.iptc.org/newscodes/digitalsourcetype/compositeSynthetic	2022-06-14T12:00:00+00:00
compositeWithTrainedAlgorithmicMedia	Edited using Generative AI	Augmentation, correction or enhancement using a Generative AI model, such as with inpainting or outpainting operations			http://cv.iptc.org/newscodes/digitalsourcetype/compositeWithTrainedAlgorithmicMedia	2024-09-17T12:00:00+00:00
computationalCapture	Multi-frame computational capture sampled from real life	The media is the result of capturing multiple frames from a real-life source using a digital camera or digital recording device, then automatically merging them into a single frame using digital signal processing techniques and/or non-generative AI. Includes High Dynamic Range (HDR) processing common in smartphone camera apps.			http://cv.iptc.org/newscodes/digitalsourcetype/computationalCapture	2024-09-17T12:00:00+00:00
dataDrivenMedia	Data-driven media	Digital media representation of data via human programming or creativity			http://cv.iptc.org/newscodes/digitalsourcetype/dataDrivenMedia	2022-06-14T12:00:00+00:00
digitalArt	Digital art	Media created by a human using digital tools	2024-09-17T12:00:00+00:00	Retired. Use *digitalCreation* instead.	http://cv.iptc.org/newscodes/digitalsourcetype/digitalArt	2022-06-14T12:00:00+00:00
digitalCapture	Digital capture sampled from real life	The media was captured from a real-life source using a digital camera or digital recording device			http://cv.iptc.org/newscodes/digitalsourcetype/digitalCapture	2024-09-17T12:00:00+00:00
digitalCreation	Digital creation	Media created by a human using non-generative tools			http://cv.iptc.org/newscodes/digitalsourcetype/digitalCreation	2024-09-17T12:00:00+00:00
humanEdits	Human-edited media	Augmentation, correction or enhancement by one or more humans using non-generative tools			http://cv.iptc.org/newscodes/digitalsourcetype/humanEdits	2024-09-17T12:00:00+00:00
minorHumanEdits	Original media with minor human edits	Minor augmentation or correction by a human, such as a digitally-retouched photo used in a magazine	2024-09-17T12:00:00+00:00	Retired. Use *humanEdits* instead.	http://cv.iptc.org/newscodes/digitalsourcetype/minorHumanEdits	2024-09-17T12:00:00+00:00
negativeFilm	Digitised from a transparent negative	The media was digitised from a negative on film or other transparent medium			http://cv.iptc.org/newscodes/digitalsourcetype/negativeFilm	2024-09-26T12:00:00+00:00
positiveFilm	Digitised from a transparent positive	The media was digitised from a positive on a transparency or other transparent medium			http://cv.iptc.org/newscodes/digitalsourcetype/positiveFilm	2024-09-26T12:00:00+00:00
print	Digitised from a non-transparent medium	The media was digitised from a non-transparent medium such as a photographic print			http://cv.iptc.org/newscodes/digitalsourcetype/print	2024-09-17T12:00:00+00:00
screenCapture	Screen capture	A capture of the contents of the screen of a computer or mobile device			http://cv.iptc.org/newscodes/digitalsourcetype/screenCapture	2024-09-17T12:00:00+00:00
softwareImage	Created by software	The digital image was created by computer software	2022-06-14T12:00:00+00:00	Retired in June 2022. Use more specific terms instead.	http://cv.iptc.org/newscodes/digitalsourcetype/softwareImage	2022-06-14T12:00:00+00:00
trainedAlgorithmicMedia	Created using Generative AI	Digital media created algorithmically using an Artificial Intelligence model trained on captured content			http://cv.iptc.org/newscodes/digitalsourcetype/trainedAlgorithmicMedia	2024-10-23T12:00:00+00:00
virtualRecording	Virtual event recording	Live recording of virtual event based on Generative AI and/or captured elements			http://cv.iptc.org/newscodes/digitalsourcetype/virtualRecording	2024-09-17T12:00:00+00:00
