code	name	definition
010100	headshot	A head only view of a person (or animal/s) or persons as in a montage. 
010200	half-length	A torso and head view of a person or persons. 
010300	full-length	A view from head to toe of a person or persons 
010400	profile	A view of a person from the side 
010500	rear view	A view of a person or persons from the rear. 
010600	single	A view of only one person, object or animal. 
010700	couple	A view of two people who are in a personal relationship, for example engaged, married or in a romantic partnership. 
010800	two	A view of two people 
010900	group	A view of more than two people 
011000	general view	An overall view of the subject and its surrounds 
011100	panoramic view	A panoramic or wide angle view of a subject and its surrounds 
011200	aerial view	A view taken from above 
011300	under-water	A photo taken under water 
011400	night scene	A photo taken during darkness 
011500	satellite	A photo taken from a satellite in orbit 
011600	exterior view	A photo that shows the exterior of a building or other object 
011700	interior view	A scene or view of the interior of a building or other object 
011800	close-up	A view of, or part of a person/object taken at close range in order to emphasize detail or accentuate mood. Macro photography. 
011900	action	Subject in motion such as children jumping, horse running 
012000	performing	Subject or subjects on a stage performing to an audience 
012100	posing	Subject or subjects posing such as a *victory* pose or other stance that symbolizes leadership. 
012200	symbolic	A posed picture symbolizing an event - two rings for marriage 
012300	off-beat	An attractive, perhaps fun picture of everyday events - dog with sunglasses, people cooling off in the fountain 
012400	movie scene	Photos taken during the shooting of a movie or TV production. 
